标题,短视频链接,f3bc7f5cffcbab3cc43c26ec2ad98e9ascss,点赞数,时长,发布者主页链接,发布者账号,发布时间
糖友为什么会水肿？#糖尿病 #糖尿病科普 #水肿 ,https://www.douyin.com/video/7011004146400742664,合集,1602,00:39,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,2月前
糖尿病患者为何会出现低血糖#涨知识 #医学科普 #中医养生 ,https://www.douyin.com/video/7003557609961803015,合集,50,00:41,https://www.douyin.com/user/MS4wLjABAAAAjqKdu7m0zWsmFWeH3OQk2K7G0zcRbjG4KhIV5DUUJP_8kKsRg1tHjA--8HaEhLps,李平医生,3月前
为什么有的人会得糖尿病呢？,https://www.douyin.com/video/6999816926578920734,,5,00:49,https://www.douyin.com/user/MS4wLjABAAAAc9XchUP0ufTGqfrNLx4FqH3fPjI-F47h_HvxSEgZ758,南医大四附院,3月前
胰岛素每天100u，空腹血糖18.9，什么原因？#医学科普 #糖尿病 #健康 @DOU+小助手,https://www.douyin.com/video/6994725192958217475,,9517,01:22,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,4月前
餐后血糖高都是什么原因？#健康 #高血糖 ,https://www.douyin.com/video/6999813702220287239,,1891,00:37,https://www.douyin.com/user/MS4wLjABAAAA062xLtYILS8e4yU1ZsATqW6KHo9dqQKV8i7bjvPxjSqi1DyT73OLAa3gAmLwUtAr,韩昕健医生,3月前
糖尿病是怎么回事？知道了早预防，以免后患！,https://www.douyin.com/video/6867472131203140867,,1,02:08,https://www.douyin.com/user/MS4wLjABAAAAhWVdFY_-kUUEAYcjrqT9v1bF050qHelQjL0XpcxOc1o,有来科普,2年前
#李焱主任 2型糖尿病偏瘦的几个原因#糖尿病 #糖友 ,https://www.douyin.com/video/7005768651026631972,合集,2430,00:46,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,3月前
血糖总是降不下来是什么原因？#医学科普 #糖尿病 #健康,https://www.douyin.com/video/6910940299758030092,,2275,00:43,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,11月前
糖尿病#遗传因素#生活方式 #健康科普 #医学科普,https://www.douyin.com/video/6948270473767701774,,111,01:38,https://www.douyin.com/user/MS4wLjABAAAAVcYDJrxoGkETihvlNkGl96Oj4R83SyMMshA8bSwUjP8,内分泌科医生-刘丹锋,8月前
糖尿病肾病是怎么引起的,https://www.douyin.com/video/6967277801833631006,,5,01:39,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,2年前
糖尿病是因为糖吃的太多了吗？#糖尿病 #健康 #养生 #中医,https://www.douyin.com/video/6884483987151047944,,23,00:31,https://www.douyin.com/user/MS4wLjABAAAATkAZfWflt_UfhhaoxmSEq0CKEdXlC2u57sW-GxPncAP7K2HCtZEbNVDjSk7A0OYl,中医崔医生,1年前
糖尿病是糖吃多了导致的吗#糖尿病 #糖尿病饮食 ,https://www.douyin.com/video/7028845381748411661,,198,00:23,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,1月前
这三种情况容易得糖尿病  #糖尿病  #医者名片  #全民健康计划  @河豚健康  #预防糖尿病,https://www.douyin.com/video/6898564002239073550,,1.0w,00:52,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1年前
得了糖尿病是因为糖吃太多了？（下）#医学科普 #健康科普 #糖尿病 #山东大学第二医院 ,https://www.douyin.com/video/6996943792804842789,合集,54,00:41,https://www.douyin.com/user/MS4wLjABAAAAe0QobdTCbDnCnQn3jSOxQZHk_HkTw4yOGdWArfSvqTo,减重降糖专家丁印鲁医生,3月前
糖友浑身都痛，是怎么回事#糖尿病 #痛 #糖尿病科普 ,https://www.douyin.com/video/7012497040118729998,合集,5755,00:40,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,2月前
糖尿病人出汗多是怎么回事？#糖尿病 #医学科普 #健康科普,https://www.douyin.com/video/7011366367928585502,,73,01:00,https://www.douyin.com/user/MS4wLjABAAAAq5_kflNF3V6wJJSVx0hVSlY3Z84ybCISMNYXnxWm5y4,吕军医生,2月前
10岁小孩患糖尿病最重要得原因是这！ #糖友饮食  @健康中国  @科普中国,https://www.douyin.com/video/6898857809014689038,,26,01:14,https://www.douyin.com/user/MS4wLjABAAAAsRPT6herJ9dFHDgA1V8byBJQgzm78h63l_4-GxlGals,保健时报,1年前
糖尿病是胰岛素出了问题，和吃糖多有关系吗？,https://www.douyin.com/video/6967274480464923918,,12,01:35,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,1年前
#糖尿病人空腹血糖高，要区分这两种原因,https://www.douyin.com/video/6922694467698937096,合集,3050,00:40,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,10月前
#糖尿病 一定是吃出来的吗？#肥胖 #减肥 #健康 #争渡健康,https://www.douyin.com/video/6939760955073072396,,128,00:41,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,8月前
 #李焱主任 为什么血糖顽固降不下来 #高血糖  #糖尿病 #医学科普 ,https://www.douyin.com/video/6975353749137067278,合集,3128,00:47,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,5月前
餐后血糖高，有这三种可能。#健康 #高血糖 #医学科普 #王世东 #糖尿病 ,https://www.douyin.com/video/6982762483635293470,,679,00:59,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,5月前
 早期糖尿病为什么可以逆转#逆转糖尿病 #糖尿病逆转 ,https://www.douyin.com/video/7006213709890719006,合集,4523,00:40,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,2月前
为什么以前说糖尿病是终身病？#高血糖 #糖尿病 #王世东 ,https://www.douyin.com/video/7024779140494626084,,2969,00:35,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,1月前
 #李焱主任 为什么糖友稍微一运动就会满头大汗 #糖尿病 #健康科普 ,https://www.douyin.com/video/6982017611181640974,合集,2334,00:45,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,5月前
糖尿病患者餐后三小时血糖比两小时还高可能的原因有哪些？,https://www.douyin.com/video/6938668446515268871,,137,03:46,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,8月前
题目悲剧不要再重演，糖尿病要引起重视！ #血糖仪#糖尿病 #科普健康中国新媒体 ,https://www.douyin.com/video/7001289151555439910,,7.2w,03:06,https://www.douyin.com/user/MS4wLjABAAAA-LhgvDp5FSanbSPDuvQRRwsHGeRnCRpa6WXD10FFs_U,安贞医院郝大夫,3月前
#糖尿病 长期血糖控制不好，有可能会引起#糖尿病肾病 。,https://www.douyin.com/video/6982119690030075175,,426,00:56,https://www.douyin.com/user/MS4wLjABAAAA2yhgpLCLibphdQ7TUBlfxZ0_tSbaa3dmBv2l4epGC72X-N_CNgYPCEYrSscQcCjZ,肾内林中军医生,5月前
糖尿病人出现泡沫尿可能是这三种原因 #糖尿病  #泡沫尿,https://www.douyin.com/video/6938709214168763662,,1191,00:23,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,8月前
妊娠期糖尿病病因有哪些呢？  @震洋健康  #知识创作人  #健康真相官,https://www.douyin.com/video/6900093001226325262,,73,01:20,https://www.douyin.com/user/MS4wLjABAAAA3hnn1FW4LwmfPmRWX4KOk7JeAZ-5_qg3LuZd5A6-8ZY,彭李妉医生,1年前
得糖尿病，和吃糖的关系不大，真正的原因或在几类食物里,https://www.douyin.com/video/6967274516246465825,,8,01:58,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,1年前
经常吃糖会引起糖尿病吗？#糖尿病 #科普健康知识 #控糖,https://www.douyin.com/video/7039190412250074376,,1410,01:33,https://www.douyin.com/user/MS4wLjABAAAAq5_kflNF3V6wJJSVx0hVSlY3Z84ybCISMNYXnxWm5y4,吕军医生,3天前
知道为什么会得糖尿病吗？#糖尿病科普,https://www.douyin.com/video/6841068592943926531,,7,01:00,https://www.douyin.com/user/MS4wLjABAAAA6RzmWONZmj7TFImADUF9MI0JRvOeQvxgrXPZPHDLrC4,暨南内分泌科聂立红,1年前
原因告诉大家了，需不需要预防，应该明白了#科普 @DOU+小助手 #DOU上热门,https://www.douyin.com/video/6820209436552858891,,1257,00:19,https://www.douyin.com/user/MS4wLjABAAAAAFxNd7N3v3vYkvq6J2IQkU0U9I2L19AnaLsGC_RlBc4,袁轶峰大夫,1年前
糖尿病患者水肿是什么原因 #糖尿病 ,https://www.douyin.com/video/7010348138254830882,,360,00:56,https://www.douyin.com/user/MS4wLjABAAAARz9j_M7MXa-9ouVdVcnLp-H3hy32om2DogZjnpEEqRJ8xnVzu9gpHA-6fIwRmWBf,内分泌科宋医生,2月前
肥胖真的容易引起2型糖尿病，又多了一条减肥的理由了#十万个怎么做 #家庭医生在线,https://www.douyin.com/video/6833684762306088204,合集,522,00:52,https://www.douyin.com/user/MS4wLjABAAAAv-uPF8b2CarHN5RJzYTC-A67Y8ZW28qZJ5F-rIoRFLY,减重医生杨景哥,1年前
为什么不吃甜，血糖还是高？#医学科普,https://www.douyin.com/video/6910984238175145223,,692,00:29,https://www.douyin.com/user/MS4wLjABAAAA-AWrK0PFT2cOvAIZ2db7KqZwNgK7IcaoA8GKjctmfm4,肖喜荣,11月前
2个原因，导致糖友酒后低血糖 #糖尿病 #糖尿病科普 #喝酒,https://www.douyin.com/video/6942775267995733279,,1968,00:19,https://www.douyin.com/user/MS4wLjABAAAAxjl17z-31dXFiJJ9eeXPZyHrn6OvqpCoXa-cK6j3npU0p2Y4vVhqtfLgPYEkLgzJ,糖尿病专家顾耀,8月前
糖尿病是糖吃多了吗？#糖尿病科普,https://www.douyin.com/video/6860685063730908420,,19,00:39,https://www.douyin.com/user/MS4wLjABAAAAGTm6_8aS1eqPCJ2hfTo8PrPmymfIAuSvLkpH_Rg0myk,河南中医药大学第一附属医院,1年前
#李焱主任 为什么糖友得病多年后慢慢就不怕烫了呢 #糖尿病 #医学科普 #健康科普,https://www.douyin.com/video/6953462307255094565,合集,1367,00:25,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,7月前
为什么#糖尿病 人越来越多？#医学科普  #内分泌 #健康饮食 #生活方式 #健康 @抖音小助手,https://www.douyin.com/video/6941735748689235230,,4,00:35,https://www.douyin.com/user/MS4wLjABAAAABHlS0WW_8keRRuKlY1PGejf6F-fTk-67N92Xk_VbwsVywvrYYE8cc1v4skB5ByDo,范慧医生,8月前
糖尿病前期为什么会低血糖？#糖尿病 #医学科普 ,https://www.douyin.com/video/6983648434905451776,,66,01:12,https://www.douyin.com/user/MS4wLjABAAAANofKaE1XyvlRWbApQHX8sLCQkzeD0q0H2I1jzt79k6Q,李医生说糖尿病,4月前
儿童二型糖尿病的病因预防,https://www.douyin.com/video/6957761395429575966,,2604,03:42,https://www.douyin.com/user/MS4wLjABAAAA-9RDtCKbgT40O0R-oBSbhHvdCKTKcYXNXcr-cYh_4kmwZUZXuU9TWXQrTTrrfyf_,马欣教授,7月前
每天打4次胰岛素血糖还是高，医生分析原因有以下几个#健康 #糖尿病 ,https://www.douyin.com/video/7001299585108823309,,1708,00:32,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,3月前
血糖不高，胰岛素高是怎么回事？#这个视频有点料 #科普 #糖尿病,https://www.douyin.com/video/6860790425469439244,,972,00:38,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
下肢发凉走路疼，罪魁祸首竟是糖尿病，在家测血糖是关键 #血糖仪 #糖尿病,https://www.douyin.com/video/7005124538455428355,,592,03:14,https://www.douyin.com/user/MS4wLjABAAAAL-dlTLym7hmm4CUcE4kxfcjR6G165ZIp3zNYqMSSOfg,血管医生王友彬,3月前
#误区：#糖尿病是因为#胰岛素分泌能力不好？#医学科普 #内分泌 #涨知识 #科普 #健康 @抖音小助手,https://www.douyin.com/video/6964294020675685646,,29,00:52,https://www.douyin.com/user/MS4wLjABAAAABHlS0WW_8keRRuKlY1PGejf6F-fTk-67N92Xk_VbwsVywvrYYE8cc1v4skB5ByDo,范慧医生,6月前
糖尿病患者爱出汗，是什么原因呢？#高血糖 #王世东 #糖尿病 #爱出汗 ,https://www.douyin.com/video/7007721411783478565,,1016,00:45,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,2月前
糖尿病前期为什么和。多患者胰岛素水平都特别高#减重手术 #糖尿病 #健康 ,https://www.douyin.com/video/7015863321500929317,,203,00:31,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,2月前
#糖尿病 群体要控制好血糖，语言警惕#糖尿病肾病 的发生。,https://www.douyin.com/video/7003303560091880716,,1780,01:01,https://www.douyin.com/user/MS4wLjABAAAA2yhgpLCLibphdQ7TUBlfxZ0_tSbaa3dmBv2l4epGC72X-N_CNgYPCEYrSscQcCjZ,肾内林中军医生,3月前
空腹血糖高原因#糖尿病#科普知识,https://www.douyin.com/video/6971635008968609054,,227,00:08,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,6月前
很多糖尿病患者说，医生，为什么我的血糖控制的不好？#血糖 #糖尿病,https://www.douyin.com/video/6979410946791951653,合集,542,01:41,https://www.douyin.com/user/MS4wLjABAAAAiCLlJaIyM0wiU4c4mLD2Yx6d5DmAM1z_cOTQ6aogpMatzupUQTqtn12PCNZISvu3,群聊卒中,5月前
#糖尿病  人一活动就满头大汗，可能是这个原因#糖尿病科普 #出汗,https://www.douyin.com/video/6945331578201492766,,4673,00:31,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,8月前
糖尿病人是癌症的高危因素#这个视频有点料 #科普 #糖尿病 #癌症 @抖音小助手,https://www.douyin.com/video/6856681987541896460,,804,00:45,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
糖尿病引起的手脚麻木因为长期的血糖控制不好有关#糖尿病 #糖尿病周围神经病变 #涨知识 ,https://www.douyin.com/video/6988700358881201415,,203,00:22,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,4月前
#李焱主任 吃粗粮为什么血糖不降反而升高#高血糖 #糖尿病 ,https://www.douyin.com/video/7000644428834671908,合集,1744,00:24,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,3月前
#糖尿病 #健康 #科普 ,https://www.douyin.com/video/7018364687536377101,合集,1.3w,01:27,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
糖尿病到底是富贵病还是贫穷病？#健康,https://www.douyin.com/video/6887023867118849291,,1570,00:34,https://www.douyin.com/user/MS4wLjABAAAAnvdTSZaBKyYd6JAFxc7m0FrBsxGUZoUMCHTCqtIOjJZHPCU-URJDE1ypr6bZfDKF,神经外科杨波教授,1年前
#糖尿病 尿是甜的吗？#血糖 #血糖高糖尿病 #科普知识 #dou出新知,https://www.douyin.com/video/6911268130190822671,,1012,00:33,https://www.douyin.com/user/MS4wLjABAAAAB_AOSNvr-Kqv1CI5voPzjorpLGHScaNO4eVECLDootc,内分泌科孙医生,11月前
给糖友们的建议，调节血糖，远离小中风#糖尿病 #小中风 #医学科普 @抖音小助手 ,https://www.douyin.com/video/6999555842345307406,,107,00:46,https://www.douyin.com/user/MS4wLjABAAAAWyweteBAEtFAJfkxhIy9IYb3jug7MHbHuWp4N8DMAP2S4a_AQX1ptlkaTRsY41Ho,神奇大脑毛之奇医生,3月前
糖尿病患者为什么要补充维生素12#糖尿病科普 #健康dou起来,https://www.douyin.com/video/6879628487334956295,,4037,00:56,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
血糖高是因为糖吃太多了吗？没那么简单！#医学科普 #健康 @DOU+小助手,https://www.douyin.com/video/6907818021146856704,,187,00:34,https://www.douyin.com/user/MS4wLjABAAAAE6N2Ua7sC3oYFBtJWdnF0hLh5nXhoDGQcIhLCawqKaw-0bxdKrj5zWHkyytAOISu,内分泌科史双伟,11月前
血糖高的朋友 一定要小心这个病 #糖尿病 #血糖高 #肾病,https://www.douyin.com/video/6869700196746431752,合集,676,00:32,https://www.douyin.com/user/MS4wLjABAAAAH6FcliiSDZtgPmkfeopJU2kasMk64g0ct6ztjI84d7I,肾病科王暴魁教授,1年前
#糖尿病 糖友为什么想吃甜食 #李焱主任  #医学科普  #糖尿病饮食,https://www.douyin.com/video/6944224895173774628,合集,1203,00:44,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,8月前
糖尿病是因为吃糖太多？医生：最该注意的是这几个关键因素,https://www.douyin.com/video/6967283247831158030,,6,01:40,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,2年前
血糖控制不达标，常见有4个原因！#科普健康知识 #医学科普 #健康科普 #科普 #涨知识 #医者仁心敬佑生命 #医学知识科普 #健康dou起来 #健康最重要 #健康 #健康养生 @...... 版本过低，升级后可展示全部信息,https://www.douyin.com/video/6998822719592713485,,145,02:15,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,3月前
 血糖很好，为什么越来越瘦#糖尿病 #瘦 #糖尿病科普 ,https://www.douyin.com/video/7012184254809443614,合集,1918,00:40,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,2月前
睡前血糖正常，为什么空腹血糖那么高？,https://www.douyin.com/video/6961724061143682341,,79,02:32,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,6月前
糖尿病肾病是怎么形成的，为什么会有糖尿病肾病,https://www.douyin.com/video/6865854048755518734,,30,00:41,https://www.douyin.com/user/MS4wLjABAAAAl3sdSNEmmmodDdrzPxRbuxcjcKQb-oUI9RPC-gY1p7Wd3HWXdRLJz8mEF8eopAzZ,肾内科杨彦芳,1年前
一型糖尿病为什么不能通过手术治疗#糖尿病#减重手术#健康,https://www.douyin.com/video/6944315061733182758,,191,00:19,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,8月前
是真的吗？每天一个鸡蛋，引起糖尿病的发病风险提高60%  #鸡蛋  #糖尿病   #科普 ,https://www.douyin.com/video/6898291716621634827,,1.2w,02:40,https://www.douyin.com/user/MS4wLjABAAAAF5YRxatWMv5tMglPcTvSyWliYURpbHeudZ6uXJdle1k,李瑛,1年前
糖尿病人爱出汗的原因是什么？#糖尿病 #医学科普 #抖音小助手 #致敬了不起的她,https://www.douyin.com/video/6937219136015617293,,120,00:41,https://www.douyin.com/user/MS4wLjABAAAAn7j-uaustxYo6OFRwLnGFF0Aw6G_Wc3A08gEdqcu3AKwD0GdAJBYCCWA46Vqj9rH,内分泌刘医生,9月前
为啥中国糖尿病人口如此之多？#视频内容出自中华医学会《中国糖尿病防治指南2020》#糖尿病 #减肥 #控糖 ,https://www.douyin.com/video/7000626289430383879,,929,00:48,https://www.douyin.com/user/MS4wLjABAAAAa93mx-QSoPe_BUkJ8v2PKWNDs1Zcu3eO_wqLZDj-vISU5bDcmNPOFG5bPodDn49p,减重外科刘少壮,3月前
二型糖尿病主要发病因素#糖尿病#医学科普 #香河,https://www.douyin.com/video/6997701242168347936,合集,20,00:26,https://www.douyin.com/user/MS4wLjABAAAAmIdSVh1qYNXgU_7jv7_GLOHCOhk33IKXjjT-c59M81nH9RS7EB3Lq8uIWHd9C1Xu,香河县中医医院,3月前
肥胖为什么容易得糖尿bi呢？ @震洋健康   #肥胖,https://www.douyin.com/video/6846666070732901646,,11,00:55,https://www.douyin.com/user/MS4wLjABAAAAvCx4jLS3YTFDWwFcpZokLdcHxoXUgTa_jEvKHFtEbJ4NqI15j6OPD9ZC2bv0AXET,普外科陈伟医生,1年前
糖尿病足为何会面临截肢？#糖尿病 #糖尿病足 #糖尿病并发症 #科普 #健康 ,https://www.douyin.com/video/7016995265051675919,合集,107,00:44,https://www.douyin.com/user/MS4wLjABAAAAsbnxLOQ_NHGJOXRj2thO8LE_k8xWHHxRLLm9QpoCYEk,周围血管杨博华教授,2月前
血糖高也不一定是糖尿病？血糖高的原因有很多，如果不是反复血糖高就不是糖尿病#糖尿病#高血糖,https://www.douyin.com/video/6888215606982659335,合集,153,00:17,https://www.douyin.com/user/MS4wLjABAAAAvkODZxbpLmTL5Tb5lhOW3rGqaqlU0U3oDEj9f5dCtTafIfBQRTq0tMkqcoTKrQlA,心动力姚医生,1年前
警惕甜蜜陷阱！ #科普  #二型糖尿病 ,https://www.douyin.com/video/6982058030502382861,,3.5w,01:33,https://www.douyin.com/user/MS4wLjABAAAAd2SoOO020RyRJI8wJGJt5oH8CwqixxAQmd7138DMSZo,丁香医生,5月前
糖尿病出现蛋白尿，一定要查找原因#医学科普 #健康 #糖尿病 @DOU+小助手,https://www.douyin.com/video/7000011459790966055,,371,01:10,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,3月前
#李焱主任 为什么运动后血糖会更高#糖尿病运动 #医学科普 #糖尿病 ,https://www.douyin.com/video/7008730900405964062,合集,684,00:52,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,2月前
#葛根薏枣茶 针对高血糖的朋友可以尝试，葛根薏枣茶快乐过大年！@抖音小助手,https://www.douyin.com/video/6780225837808618765,,7398,01:28,https://www.douyin.com/user/MS4wLjABAAAA8Ucop5FJjPIIIPA0DHQjMLkxwN7UfYHsK8c-NxxilK8,大医本草堂,1年前
,,,2166,00:42,https://www.douyin.com/user/MS4wLjABAAAAw0IOGuSKZNYD69Atkvic6SJRU7-9e2VxwDp89JO69oI,徐志强医生,9月前
糖尿病引起脑梗的原因 @震洋健康  @中医陈其华医生 #健康真相官  #知识创作人,https://www.douyin.com/video/6900087099446332679,,2407,00:46,https://www.douyin.com/user/MS4wLjABAAAAIWrqtjZIcosga2_-czt6XAHsNoFIfbgxdDow_IxhNeHK3kqMP9Bp8JFj0OQ8gk8g,袁光雄医生,1年前
你知道要怎么找原发病吗？#健康dou起来,https://www.douyin.com/video/6975819162836798753,,852,00:34,https://www.douyin.com/user/MS4wLjABAAAAYnBm5zUV2FflSz7gKeAZVM8P_We6GGbaxBZ7zuJe31g5Vz2QrcBRo9lvLrCA9PEf,肾病大夫林秀彬,5月前
#李焱主任 有些糖尿病人下肢为什么会出现黑斑 #糖尿病 #医学科普 #健康科普,https://www.douyin.com/video/6952711470845136142,合集,3399,00:36,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,7月前
血糖低是什么原因呢？  @震洋健康  #知识创作人  #健康真相官,https://www.douyin.com/video/6895618965469465863,,175,01:30,https://www.douyin.com/user/MS4wLjABAAAA3hnn1FW4LwmfPmRWX4KOk7JeAZ-5_qg3LuZd5A6-8ZY,彭李妉医生,1年前
#糖尿病 不可怕，最可怕的是它的#并发症 ，同意的点赞！#高血糖 #高血压,https://www.douyin.com/video/6889995306096676100,,200,00:50,https://www.douyin.com/user/MS4wLjABAAAApmCxkrR5RwkgmHbjyqkoYV53AfS8WhzWCsE0ssBz1Wg,连博士说内分泌,1年前
#糖尿病 患者确诊的原因，竟是因为18天没吃饭#健康 ,https://www.douyin.com/video/7005095518858743070,,1018,00:48,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,3月前
糖尿B这个并发症容易被忽视#医学科普 #健康 #糖尿病,https://www.douyin.com/video/6911992072425819396,,1678,00:54,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,11月前
